record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,spc_field,ec_field,ph_field,turbidity_field,ec_lab,ph_lab,tn_mg_l,tp_mg_l,cl_mg_l,hco3_mg_l,so4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l
201102160000_SW02_HoarseLane_AS13,25,3,16/02/2011 0:00,2,3,,,,,,,447,,,,49.33,,6.51,21.66,15.67,41.89,3.68
201102160000_SW02_HoarseLane_AS14,25,3,16/02/2011 0:00,2,3,,,,,,,448,,,,46.5,,6.19,21.62,14.93,42.17,3.6
201102160000_SW02_HoarseLane_AS19,25,3,16/02/2011 0:00,2,3,,,,,,,434,,,,48.16,,6.39,21.58,15.06,41.02,3.6
201102160000_SW02_HoarseLane_AS24,25,3,16/02/2011 0:00,2,3,,,,,,,463,,,,50.87,,6.77,21.8,15.02,41.65,3.62
201102220000_SW02_HoarseLane,25,2,22/02/2011 0:00,2,3,24.5,,1315,1302,7.98,,1448,8.26,,,199.3,,22.78,62.22,41.63,177.38,2.05
201102220000_SW03_Cootamundry,26,2,22/02/2011 0:00,2,3,21.2,,859,797,7.84,,884,7.1,,,217.15,,18.38,105.78,39.6,20.75,7.41
201102220000_SW04_Berthong,27,2,22/02/2011 0:00,2,3,20.7,,1412,1296,8.25,,1417,7.37,,,268.35,,44.11,136.57,68.25,52.53,10.87
201102220000_SW05_Cunjegong,28,2,22/02/2011 0:00,2,3,22.2,,904,855,7.52,,685,7.25,,,158.4,,11.59,65.03,26.35,15.38,5.14
201102220000_SW06_Jindalee,29,2,22/02/2011 0:00,2,3,25.7,,2076,2108,8.1,,2170,7.93,,,578.67,,100.12,129.31,158.15,119.9,6.73
201102220000_SW07_RomaniEntry,30,2,22/02/2011 0:00,2,3,22.1,,619,585,7.35,,550,7.22,,,109.86,,9.53,56.75,20.81,11.95,4.31
201102220000_SW08_SheepStation,31,2,22/02/2011 0:00,2,3,,,,,,,1609,7.3,,,482.6,,21,184.71,83.06,43.6,6.99
201102220000_SW09_Bongongolong,32,2,22/02/2011 0:00,2,3,22.4,,407,387,7.49,,413,7.12,,,43.84,,3.7,34.43,19.75,15.71,3.52
201102220000_SW11_Glenarchy,34,2,22/02/2011 0:00,2,3,20.9,,1305,1203,8.27,,1433,7.57,,,312.69,,44.19,138.37,75.16,57.64,9.75
201102220000_SW12_DinyahMixingFresh,35,2,22/02/2011 0:00,2,3,,,,,,,655,7,,,118.54,,9.89,57.32,33.72,15.11,10.75
201102220000_SW13_Wambidgee,36,2,22/02/2011 0:00,2,3,22.1,,1123,1060,7.7,,949,7.15,,,191.25,,31.49,103.07,46.04,30.26,7.32
201102220000_SW15_MuttamaCreek,38,2,22/02/2011 0:00,2,3,22.2,,1191,1129,7.7,,969,7.36,,,201.59,,34.18,106.76,46.9,31.64,7.41
201102220000_SW18_Tarkarella,41,2,22/02/2011 0:00,2,3,21.7,,818,767,7.06,,633,7.23,,,53.02,,16.27,63.23,18.14,28.6,2.46
201102220000_SW21_CoolacMingay,44,2,22/02/2011 0:00,2,3,23,,1031,991,7.46,,870,7.08,,,152.8,,24.78,64.56,38.72,35.81,6.52
201102220000_SW22_ArmoursLane,45,2,22/02/2011 0:00,2,3,22.2,,1005,952,7.32,,875,7.06,,,150.85,,25.58,65.22,38.25,34.53,6.33
201102220000_SW24_YammtreeMid,47,2,22/02/2011 0:00,2,3,,,,,,,248,6.96,,,28.01,,2.64,21.87,14.51,4.31,1.11
201102220000_SW25_BurraCreekNorth,48,2,22/02/2011 0:00,2,3,,,,,,,340,7.25,,,46.13,,3.69,33.92,13.7,6.5,3.28
201102220000_SW26_ReefCreek,49,2,22/02/2011 0:00,2,3,27.67,,1541,1620,8.12,,1499,7.7,,,337.87,,51.79,117.97,85.6,81.03,5.65
201102220000_SW27_LongView,50,2,22/02/2011 0:00,2,3,,,,,,,1013,7.43,,,187,,80.69,99.5,52.37,28.67,9.36
201102220000_SW28_CullingaCreekEast,51,2,22/02/2011 0:00,2,3,,,,,,,1457,7.96,,,288.71,,44.48,113.21,74.04,86.14,6.12
201102220000_SW29_CullingaCreekMain,52,2,22/02/2011 0:00,2,3,,,,,,,1389,8.17,,,262.44,,40.51,108.4,73.99,81.71,6.97
201102220000_SW30_AthloneNorth,53,2,22/02/2011 0:00,2,3,,,,,,,3200,7.03,,,1071.93,,12.28,184.26,247.25,99.83,25.93
201102220000_SW31_AthloneSouth,54,2,22/02/2011 0:00,2,3,22,,1212,1144,7.33,,1111,7.22,,,238.62,,12.99,128.31,40.99,24.5,8.8
201102220000_SW34_BigDam,57,2,22/02/2011 0:00,2,3,24.7,,117,117,8.54,,137.9,7.54,,,14.14,,3.81,12.1,4.06,1.35,3.2
201102220000_SW35_BradmanOval,58,2,22/02/2011 0:00,2,3,22.2,,950,898,7.7,,898,7.06,,,153.72,,23.75,65.46,46.81,26.93,13.15
201102220000_SW36_NashsLane,59,2,22/02/2011 0:00,2,3,25.74,,900,913,7.65,,941,7.29,,,148.96,,69.17,92.79,55.74,31.79,13.36
201104050000_SW01_Coolac,24,2,5/04/2011 0:00,2,3,,,,,,,1587,7.89,,,,,,148.44,77.86,96.91,9.43
201104050000_SW26_ReefCreek,49,2,5/04/2011 0:00,2,3,14.96,,3226,2607,7.45,43.7,1641,7.77,,,,,,140.14,107.49,104,7.59
201104050830_SW29_CullingaCreekMain,52,2,5/04/2011 8:30,2,3,,,,,,,,,,,,,,139.25,104.18,116.37,6.23
201104050930_SW03_Cootamundry,26,2,5/04/2011 9:30,2,3,14.8,,1735,1397,7.39,7.1,1095,7.29,,,,,,138.42,52.98,30.69,9.04
201104051025_SW06_Jindalee,29,2,5/04/2011 10:25,2,3,15.98,,2998,2486,8.08,0.6,1960,,,,,,,130.03,146.24,119.19,7.55
201104051105_SW11_Glenarchy,34,2,5/04/2011 11:05,2,3,16.35,,1835,1530,7.87,7.8,2240,7.55,,,,,,287.57,103.91,95.37,11.99
201104051200_SW04_Berthong,27,2,5/04/2011 12:00,2,3,24.02,,2574,2524,9,7,1639,7.8,,,,,,203.38,73.04,68.21,13.71
201104051515_SW05_Cunjegong,28,2,5/04/2011 15:15,2,3,18.7,,1408,1220,7.47,22.4,1431,7.19,,,,,,190.47,56.32,41.57,8.48
201104051530_SW07_RomaniEntry,30,2,5/04/2011 15:30,2,3,20.71,,1652,1518,7.36,20.1,1052,7.33,,,,,,139.34,42.54,29.11,8.28
201104051550_SW31_AthloneSouth,54,2,5/04/2011 15:50,2,3,18.27,,3436,2997,7.9,3.9,2190,7.57,,,,,,320.58,96.7,66.63,12.12
201104051700_SW16_BrawlinRoadCreek,39,2,5/04/2011 17:00,2,3,16.76,,2656,2238,7.82,14.7,1718,7.43,,,,,,192.05,110.33,72.81,13.4
201104051725_SW35_BradmanOval,58,2,5/04/2011 17:25,2,3,19.53,,1805,1617,7.9,12.8,1179,7.45,,,,,,138.78,55.26,38.95,18.98
201104060800_SW36_NashsLane,59,2,6/04/2011 8:00,2,3,14.96,,3226,2607,7.45,43.7,,,,,,,,181.2,103.65,71.13,15.88
201104061105_SW15_MuttamaCreek,38,2,6/04/2011 11:05,2,3,15.8,,1925,1586,7.73,12.9,1819,7.36,,,,,,217.81,105.68,82.04,10.68
201104061120_SW08_SheepStation,31,2,6/04/2011 11:20,2,3,16.25,,3841,3200,7.61,10.8,3740,7.4,,,,,,420.08,287.11,111.51,16.74
201104061205_SW25_BurraCreekNorth,48,2,6/04/2011 12:05,2,3,16.22,,478,402,7.73,6.9,713,7.47,,,,,,63.24,34.44,21.67,5.59
201104061210_SW24_YammtreeMid,47,2,6/04/2011 12:10,2,3,,,,,,,996,7.66,,,,,,58.47,40.78,47.8,5.02
201104061215_SW23_BongongolongHeadwater,46,2,6/04/2011 12:15,2,3,15.41,,489,399,7.45,3.1,481,7.1,,,,,,46.67,23.03,15.63,6.72
201104061251_SW18_Tarkarella,41,2,6/04/2011 12:51,2,3,18.92,,830,731,7.17,4.5,818,7.07,,,,,,102.43,27.65,50.23,5
201104061325_SW02_HoarseLane,25,2,6/04/2011 13:25,2,3,20.41,,629,679,8.27,8.7,1331,7.94,,,,,,62.09,43.31,184.95,4.38
201104061636_SW13_Wambidgee,36,2,6/04/2011 16:36,2,3,16.36,,1876,1566,7.73,14.3,1850,7.43,,,,,,206.75,103.97,80.29,11.46
201104061704_SW22_ArmoursLane,45,2,6/04/2011 17:04,2,3,17.04,,1636,1388,7.91,28.1,1657,7.49,,,,,,156.4,81.87,93.58,9.22
201104070000_SW11_Glenarchy,34,2,7/04/2011 0:00,2,3,,,,,,,2390,8.07,,,807.89,,115.41,290.74,105.08,95.59,9.47
201106220000_SW01_Coolac,24,2,22/06/2011 0:00,2,3,,,,,,,1888,8.05,,,590.73,,108.43,172.03,88.63,105.92,5.56
201106220000_SW02_HoarseLane,25,2,22/06/2011 0:00,2,3,,,,,,,1438,8.44,,,243.37,,23.86,57.51,36.02,191.67,2.62
201106220000_SW06_Jindalee,29,2,22/06/2011 0:00,2,3,,,,,,,2150,7.95,,,512.48,,123.46,129.04,146.35,121.75,10.36
201106220000_SW21_CoolacMingay,44,2,22/06/2011 0:00,2,3,,,,,,,1910,7.85,,,447.94,,83.4,170.84,88.06,109.43,5.65
201106220000_SW28_CullingaCreekEast,51,2,22/06/2011 0:00,2,3,,,,,,,1950,7.91,,,449.68,,78.35,138.01,102.2,119.6,5.84
201106220000_SW29_CullingaCreekMain,52,2,22/06/2011 0:00,2,3,,,,,,,1639,8.07,,,379.8,,69.59,125.28,57.23,108.27,6.46
201106220000_SW33_SECootaNorth,56,2,22/06/2011 0:00,2,3,,,,,,,3600,7.74,,,1250.36,,98.72,278.62,180.2,173.48,18.87
201106220000_SW36_NashsLane,59,2,22/06/2011 0:00,2,3,,,,,,,701,7.13,,,83.64,,100.05,58.41,29.41,15.88,8.18
201106230000_SW03_Cootamundry,26,2,23/06/2011 0:00,2,3,,,,,,,1569,7.8,,,550.72,,31.18,166.55,73.04,44.48,9.74
201106230000_SW04_Berthong,27,2,23/06/2011 0:00,2,3,,,,,,,3600,7.86,,,1281.64,,279.17,453.98,150.23,133.57,15.03
201106230000_SW05_Cunjegong,28,2,23/06/2011 0:00,2,3,,,,,,,1920,7.92,,,884.41,,41.62,235.59,70.73,54.37,7.41
201106230000_SW07_RomaniEntry,30,2,23/06/2011 0:00,2,3,,,,,,,1026,7.61,,,285.99,,15.93,114.74,38.86,27.97,4.69
201106230000_SW08_SheepStation,31,2,23/06/2011 0:00,2,3,,,,,,,5230,7.88,,,3761.19,,118.6,590.86,321.02,176.87,15.53
201106230000_SW09_Bongongolong,32,2,23/06/2011 0:00,2,3,,,,,,,1023,7.88,,,187.25,,13.13,63.02,46.92,59.9,3.81
201106230000_SW11_Glenarchy,34,2,23/06/2011 0:00,2,3,,,,,,,3060,7.57,,,938.46,,172.13,383.06,121.26,111.01,10.5
201106230000_SW12_DinyahMixingFresh,35,2,23/06/2011 0:00,2,3,,,,,,,970,7.21,,,256.12,,9.89,96.58,51.83,25.57,13.76
201106230000_SW13_Wambidgee,36,2,23/06/2011 0:00,2,3,,,,,,,2210,7.48,,,540.57,,124.76,224.36,112.52,89.06,7.5
201106230000_SW14_FairviewCreek,37,2,23/06/2011 0:00,2,3,,,,,,,3320,7.84,,,913.64,,140.56,254.45,109.8,235.32,12.73
201106230000_SW15_MuttamaCreek,38,2,23/06/2011 0:00,2,3,,,,,,,2370,7.64,,,594.68,,173.09,248.27,127.57,95.93,7.1
201106230000_SW16_BrawlinRoadCreek,39,2,23/06/2011 0:00,2,3,,,,,,,2180,7.47,,,388.18,,403.36,224.32,136.59,90.54,10.44
201106230000_SW18_Tarkarella,41,2,23/06/2011 0:00,2,3,,,,,,,1086,7.08,,,139.77,,36.78,105.67,27.7,49.48,3.57
201106230000_SW22_ArmoursLane,45,2,23/06/2011 0:00,2,3,,,,,,,1959,7.61,,,4577.06,,987.64,184.11,95.69,103.44,5.98
201106230000_SW23_BongongolongHeadwater,46,2,23/06/2011 0:00,2,3,,,,,,,673,7.39,,,135.78,,3.35,61.05,24.77,21.04,5.05
201106230000_SW24_YammtreeMid,47,2,23/06/2011 0:00,2,3,,,,,,,1183,7.32,,,278.98,,6.52,100.69,64.86,37.85,7.55
201106230000_SW25_BurraCreekNorth,48,2,23/06/2011 0:00,2,3,,,,,,,908,7.6,,,252.65,,9.59,64.92,34.7,28.03,4.43
201106230000_SW30_AthloneNorth,53,2,23/06/2011 0:00,2,3,,,,,,,3950,7.15,,,1335.68,,23.78,273.4,300.67,160.26,26.02
201106230000_SW31_AthloneSouth,54,2,23/06/2011 0:00,2,3,,,,,,,2810,7.58,,,812.62,,61.91,415.11,96.43,75.06,13.62
201106230000_SW35_BradmanOval,58,2,23/06/2011 0:00,2,3,,,,,,,1684,7.53,,,233.45,,37.77,161.57,46.74,33.07,36.15
201107250000_SW01_Coolac,24,2,25/07/2011 0:00,2,3,,,,,,,1382,8.02,,,334.7,,53.43,127.84,58.19,70.53,4.58
201107250000_SW03_Cootamundry,26,2,25/07/2011 0:00,2,3,,,,,,,2120,7.83,,,1203.44,,76.76,218.13,99.76,63.51,10.26
201107250000_SW05_Cunjegong,28,2,25/07/2011 0:00,2,3,,,,,,,1608,8.11,,,816.26,,38.82,192.12,52.77,40.77,5.25
201107250000_SW08_SheepStation,31,2,25/07/2011 0:00,2,3,,,,,,,4120,7.97,,,1730.15,,65.19,472.13,260.38,138.53,12.45
201107251030_SW02_HoarseLane,25,2,25/07/2011 10:30,2,3,,,,,,,1347,8.17,,,173.43,,17.45,58.47,37.99,190.41,2.16
201108180023_SW05_Cunjegong_AS1,28,3,18/08/2011 0:23,2,3,,,,,,,,,,,289.04,,15.41,,,,
201108180153_SW05_Cunjegong_AS2,28,3,18/08/2011 1:53,2,3,,,,,,,,,,,169.22,,9.48,,,,
201108180453_SW05_Cunjegong_AS4,28,3,18/08/2011 4:53,2,3,,,,,,,,,,,108.44,,7.59,,,,
201108180819_SW01_Coolac_AS1,24,3,18/08/2011 8:19,2,3,,,,,,,,,,,77.17,,,,,,
201108181053_SW05_Cunjegong_AS8,28,3,18/08/2011 10:53,2,3,,,,,,,,,,,69.45,,4.45,,,,
201108181119_SW01_Coolac_AS2,24,3,18/08/2011 11:19,2,3,,,,,,,,,,,65.41,,,,,,
201108181223_SW05_Cunjegong_AS9,28,3,18/08/2011 12:23,2,3,,,,,,,,,,,63.96,,4.64,,,,
201108181249_SW01_Coolac_AS3,24,3,18/08/2011 12:49,2,3,,,,,,,,,,,59.85,,,,,,
201108181419_SW01_Coolac_AS4,24,3,18/08/2011 14:19,2,3,,,,,,,,,,,37.18,,,,,,
201108181523_SW05_Cunjegong_AS11,28,3,18/08/2011 15:23,2,3,,,,,,,,,,,54.51,,3.87,,,,
201108181549_SW01_Coolac_AS5,24,3,18/08/2011 15:49,2,3,,,,,,,,,,,29.7,,,,,,
201108181653_SW05_Cunjegong_AS12,28,3,18/08/2011 16:53,2,3,,,,,,,,,,,54.2,,3.59,,,,
201108181702_SW05_Cunjegong_AS13,28,3,18/08/2011 17:02,2,3,,,,,,,,,,,50.16,,3.93,,,,
201108181719_SW01_Coolac_AS6,24,3,18/08/2011 17:19,2,3,,,,,,,,,,,18.43,,,,,,
201108181849_SW01_Coolac_AS7,24,3,18/08/2011 18:49,2,3,,,,,,,,,,,15.25,,,,,,
201108182019_SW01_Coolac_AS8,24,3,18/08/2011 20:19,2,3,,,,,,,,,,,17.96,,,,,,
201108182149_SW01_Coolac_AS9,24,3,18/08/2011 21:49,2,3,,,,,,,,,,,23.86,,,,,,
201108182319_SW01_Coolac_AS10,24,3,18/08/2011 23:19,2,3,,,,,,,,,,,21.64,,,,,,
201108190049_SW01_Coolac_AS11,24,3,19/08/2011 0:49,2,3,,,,,,,,,,,19.94,,,,,,
201108190058_SW01_Coolac_AS12,24,3,19/08/2011 0:58,2,3,,,,,,,,,,,29.71,,,,,,
201108190219_SW01_Coolac_AS13,24,3,19/08/2011 2:19,2,3,,,,,,,,,,,20.61,,,,,,
201108190349_SW01_Coolac_AS14,24,3,19/08/2011 3:49,2,3,,,,,,,,,,,23.19,,,,,,
201108190502_SW05_Cunjegong_AS19,28,3,19/08/2011 5:02,2,3,,,,,,,,,,,50.54,,4.35,,,,
201108190649_SW01_Coolac_AS15,24,3,19/08/2011 6:49,2,3,,,,,,,,,,,27.07,,,,,,
201108190658_SW01_Coolac_AS16,24,3,19/08/2011 6:58,2,3,,,,,,,,,,,45.97,,,,,,
201108191102_SW05_Cunjegong_AS20,28,3,19/08/2011 11:02,2,3,,,,,,,,,,,56.4,,4.74,,,,
201108191258_SW01_Coolac_AS17,24,3,19/08/2011 12:58,2,3,,,,,,,,,,,63.02,,,,,,
201108192302_SW05_Cunjegong_AS22,28,3,19/08/2011 23:02,2,3,,,,,,,,,,,69.55,,5.66,,,,
201108200058_SW01_Coolac_AS18,24,3,20/08/2011 0:58,2,3,,,,,,,,,,,72.97,,,,,,
201108201102_SW05_Cunjegong_AS24,28,3,20/08/2011 11:02,2,3,,,,,,,,,,,81.23,,6.45,,,,
201108201258_SW01_Coolac_AS19,24,3,20/08/2011 12:58,2,3,,,,,,,,,,,93.59,,,,,,
201108300000_SW01_Coolac,24,2,30/08/2011 0:00,2,3,,,,,,,,,,,206,,41.1,,,,
201108300000_SW02_HoarseLane_AS1,25,3,30/08/2011 0:00,2,3,,,,,,,797,,,,140.8,,19.82,30.59,26.2,82.94,5.28
201108300000_SW02_HoarseLane_AS3,25,3,30/08/2011 0:00,2,3,,,,,,,675,,,,71.28,,10.85,26.25,19.52,67.79,5.37
201108300000_SW02_HoarseLane_AS4,25,3,30/08/2011 0:00,2,3,,,,,,,612,,,,76.93,,11.83,28.49,19.71,54.6,5.21
201108300000_SW02_HoarseLane_AS5,25,3,30/08/2011 0:00,2,3,,,,,,,449,,,,44.34,,8.32,19.76,15.84,37.57,4.65
201108300000_SW02_HoarseLane_AS6,25,3,30/08/2011 0:00,2,3,,,,,,,377,,,,32.55,,6.97,18.11,15.02,29.14,4.41
201108300000_SW02_HoarseLane_AS7,25,3,30/08/2011 0:00,2,3,,,,,,,290,,,,20.41,,5.05,13.24,13.07,20.95,3.94
201108300000_SW02_HoarseLane_AS8,25,3,30/08/2011 0:00,2,3,,,,,,,250,,,,15.41,,4.74,10.83,10.69,16.67,3.86
201108300000_SW02_HoarseLane_AS9,25,3,30/08/2011 0:00,2,3,,,,,,,269,,,,18.61,,5.78,11.91,11.25,19.76,3.68
201108300000_SW02_HoarseLane_AS10,25,3,30/08/2011 0:00,2,3,,,,,,,321,,,,30.48,,6.52,15.09,12.75,22.67,3.91
201108300000_SW02_HoarseLane_AS11,25,3,30/08/2011 0:00,2,3,,,,,,,319,,,,26.35,,5.49,15.99,13.68,21.53,4.13
201108300000_SW02_HoarseLane_AS12,25,3,30/08/2011 0:00,2,3,,,,,,,303,,,,26.7,,5.73,14.19,12.6,21.71,3.95
201108300000_SW02_HoarseLane_AS13,25,3,30/08/2011 0:00,2,3,,,,,,,315,,,,23.05,,4.81,14.27,11.98,21.28,3.98
201108300000_SW02_HoarseLane_AS14,25,3,30/08/2011 0:00,2,3,,,,,,,320,,,,25.49,,4.91,15.6,13.05,23.84,3.97
201108300000_SW02_HoarseLane_AS16,25,3,30/08/2011 0:00,2,3,,,,,,,385,,,,28.89,,5.38,17.63,14.5,32.04,4.68
201108300000_SW02_HoarseLane_AS17,25,3,30/08/2011 0:00,2,3,,,,,,,393,,,,30.93,,5.85,18.03,14.75,33.99,4.68
201108300000_SW02_HoarseLane_AS18,25,3,30/08/2011 0:00,2,3,,,,,,,542,,,,48.13,,7.65,24.85,18.54,51.77,4.93
201108300000_SW02_HoarseLane_AS19,25,3,30/08/2011 0:00,2,3,,,,,,,666,,,,65.75,,9.39,31.85,22.27,67.13,4.74
201108300000_SW02_HoarseLane_AS21,25,3,30/08/2011 0:00,2,3,,,,,,,823,,,,86.96,,11.19,38.96,26.4,86.05,4.34
201108300000_SW02_HoarseLane_AS23,25,3,30/08/2011 0:00,2,3,,,,,,,942,,,,105.86,,12.55,43.4,29.61,100.64,4.03
201108300000_SW03_Cootamundry,26,2,30/08/2011 0:00,2,3,,,,,,,,,,,628,,71,,,,
201108300000_SW05_Cunjegong,28,2,30/08/2011 0:00,2,3,,,,,,,,,,,235,,18.7,,,,
201108300000_SW08_SheepStation,31,2,30/08/2011 0:00,2,3,,,,,,,,,,,733,,43.1,,,,
201108300000_SW36_NashsLane,59,2,30/08/2011 0:00,2,3,,,,,,,,,,,188,,16.3,,,,
201108301015_SW01_Coolac,24,2,30/08/2011 10:15,2,3,,,,,,,,,,,177.83,,30.88,,,,
201108301208_SW02_HoarseLane,25,2,30/08/2011 12:08,2,3,,,,,,,,,,,158.21,,16.2,,,,
201108301305_SW08_SheepStation,31,2,30/08/2011 13:05,2,3,,,,,,,,,,,725.79,,33.3,,,,
201108301345_SW05_Cunjegong,28,2,30/08/2011 13:45,2,3,,,,,,,,,,,202.7,,13.58,,,,
201108301526_SW03_Cootamundry,26,2,30/08/2011 15:26,2,3,,,,,,,,,,,612.57,,50.75,,,,
201109280000_SW01_Coolac,24,2,28/09/2011 0:00,3,3,,,,1603,8.24,,1375,7.82,,,309.2,372,58.55,165,68.5,78.5,6.3
201109280000_SW02_HoarseLane,25,2,28/09/2011 0:00,2,3,,,1121,,8.32,,,,1.2,0.09,169.46,,,64,35,120,1.9
201109280000_SW03_Cootamundry,26,2,28/09/2011 0:00,2,3,,,1778,,7.94,,,,0.6,0.1,547.88,,56.66,250,88,56,12
201109280000_SW04_Berthong,27,2,28/09/2011 0:00,2,3,,,2594,,8.15,,,,0.9,0.2,748.89,,207.62,390,140,100,14
201109280000_SW05_Cunjegong,28,2,28/09/2011 0:00,2,3,,,1183,,7.93,,,,1.4,0.07,304.31,,,180,49,36,6.6
201109280000_SW08_SheepStation,31,2,28/09/2011 0:00,2,3,,,3905,,7.99,,,,1.4,0.2,1292.14,,68.18,510,280,140,15
201109280000_SW11_Glenarchy,34,2,28/09/2011 0:00,2,3,,,2936,,8.39,,,,0.7,0.1,827.18,,230.06,480,140,120,11
201109280000_SW13_Wambidgee,36,2,28/09/2011 0:00,2,3,,,1651,,7.99,,,,1.7,0.1,404.6,,87.73,220,90,68,8.4
201109280000_SW15_MuttamaCreek,38,2,28/09/2011 0:00,2,3,,,1694,,8.02,,,,0.8,0.2,405.3,,98.4,240,91,69,8.1
201109280000_SW16_BrawlinRoadCreek,39,2,28/09/2011 0:00,2,3,,,1667,,8.07,,,,0.9,0.2,337.73,,246.89,230,110,70,11
201109280000_SW21_CoolacMingay,44,2,28/09/2011 0:00,2,3,,,1603,,8.24,,,,0.9,0.2,309.2,,58.55,165,68.5,78.5,6.3
201109280000_SW29_CullingaCreekMain,52,2,28/09/2011 0:00,2,3,,,1359,,8.75,,,,1,0.1,341.85,,75.63,150,43,93,8.1
201109280000_SW36_NashsLane,59,2,28/09/2011 0:00,2,3,,,289,,8.3,,,,1.5,0.4,50.76,,30.2,35,16,9.5,5.4
201111261024_SW01_Coolac_AS2,24,3,26/11/2011 10:24,2,3,,,,,,,,,,,169.48,,12.92,,,,
201111261154_SW01_Coolac_AS3,24,3,26/11/2011 11:54,2,3,,,,,,,,,,,63.16,,9.34,,,,
201111261354_SW01_Coolac_AS4,24,3,26/11/2011 13:54,2,3,,,,,,,,,,,23.64,,4.95,,,,
201111261454_SW01_Coolac_AS5,24,3,26/11/2011 14:54,2,3,,,,,,,,,,,14.19,,3.37,,,,
201111261654_SW01_Coolac_AS6,24,3,26/11/2011 16:54,2,3,,,,,,,,,,,11.49,,2.16,,,,
201111261754_SW01_Coolac_AS7,24,3,26/11/2011 17:54,2,3,,,,,,,,,,,10.8,,3.68,,,,
201111261954_SW01_Coolac_AS8,24,3,26/11/2011 19:54,2,3,,,,,,,,,,,10.67,,3.05,,,,
201111262054_SW01_Coolac_AS9,24,3,26/11/2011 20:54,2,3,,,,,,,,,,,12.81,,3.38,,,,
201111262254_SW01_Coolac_AS10,24,3,26/11/2011 22:54,2,3,,,,,,,,,,,17.23,,4.09,,,,
201111262354_SW01_Coolac_AS11,24,3,26/11/2011 23:54,2,3,,,,,,,,,,,169.07,,25.15,,,,
201111270124_SW01_Coolac_AS12,24,3,27/11/2011 1:24,2,3,,,,,,,,,,,90.73,,21.78,,,,
201111270133_SW01_Coolac_AS13,24,3,27/11/2011 1:33,2,3,,,,,,,,,,,47.45,,12.55,,,,
201111270254_SW01_Coolac_AS14,24,3,27/11/2011 2:54,2,3,,,,,,,,,,,34.8,,8.27,,,,
201111270424_SW01_Coolac_AS15,24,3,27/11/2011 4:24,2,3,,,,,,,,,,,31.15,,6.1,,,,
201111270554_SW01_Coolac_AS16,24,3,27/11/2011 5:54,2,3,,,,,,,,,,,29.45,,6.52,,,,
201111270724_SW01_Coolac_AS17,24,3,27/11/2011 7:24,2,3,,,,,,,,,,,81.73,,21.06,,,,
201111270733_SW01_Coolac_AS18,24,3,27/11/2011 7:33,2,3,,,,,,,,,,,29.27,,6.46,,,,
201111271333_SW01_Coolac_AS19,24,3,27/11/2011 13:33,2,3,,,,,,,,,,,31.94,,9.96,,,,
201111271933_SW01_Coolac_AS20,24,3,27/11/2011 19:33,2,3,,,,,,,,,,,37.25,,11.83,,,,
201111280133_SW01_Coolac_AS21,24,3,28/11/2011 1:33,2,3,,,,,,,,,,,44.53,,14.07,,,,
201111280733_SW01_Coolac_AS22,24,3,28/11/2011 7:33,2,3,,,,,,,,,,,62.34,,14.8,,,,
201111281333_SW01_Coolac_AS23,24,3,28/11/2011 13:33,2,3,,,,,,,,,,,74.27,,17.28,,,,
201111281933_SW01_Coolac_AS24,24,3,28/11/2011 19:33,2,3,,,,,,,,,,,72.05,,17.23,,,,
201111300000_SW02_HoarseLane_AS1,25,3,30/11/2011 0:00,2,3,,,,,,,1294,,,,226.32,,25.91,56.14,37.9,173.98,4.12
201111300000_SW02_HoarseLane_AS2,25,3,30/11/2011 0:00,2,3,,,,,,,1382,,,,200.33,,21.67,58.37,40.18,167.2,7.23
201111300000_SW02_HoarseLane_AS3,25,3,30/11/2011 0:00,2,3,,,,,,,1324,,,,214.01,,24.28,50.82,32.42,168.04,9.87
201111300000_SW02_HoarseLane_AS4,25,3,30/11/2011 0:00,2,3,,,,,,,1313,,,,212.19,,23.38,51.71,30.35,173.61,9.54
201111300000_SW02_HoarseLane_AS5,25,3,30/11/2011 0:00,2,3,,,,,,,1208,,,,204.12,,22.52,51.19,27.37,118.89,8.88
201111300000_SW02_HoarseLane_AS6,25,3,30/11/2011 0:00,2,3,,,,,,,1066,,,,145.78,,17.22,50.45,25.41,104.4,8.39
201111300000_SW02_HoarseLane_AS7,25,3,30/11/2011 0:00,2,3,,,,,,,1053,,,,144.89,,17.45,48.4,24.93,93.45,8.02
201111300000_SW02_HoarseLane_AS8,25,3,30/11/2011 0:00,2,3,,,,,,,965,,,,119.46,,14.51,47.3,25.57,91.96,8.02
201111300000_SW02_HoarseLane_AS9,25,3,30/11/2011 0:00,2,3,,,,,,,977,,,,128.87,,15.31,46.14,25.58,89.87,7.74
201111300000_SW02_HoarseLane_AS10,25,3,30/11/2011 0:00,2,3,,,,,,,944,,,,117.8,,13.95,44.96,25.7,90.69,7.6
201111300000_SW02_HoarseLane_AS11,25,3,30/11/2011 0:00,2,3,,,,,,,941,,,,124,,14.77,43.5,26.16,92.15,7.38
201111300000_SW02_HoarseLane_AS12,25,3,30/11/2011 0:00,2,3,,,,,,,958,,,,133.6,,16.1,43.46,26.8,92.65,7.26
