record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,spc_field,ec_field,ph_field,turbidity_field,ec_lab,ph_lab,tn_mg_l,tp_mg_l,cl_mg_l,hco3_mg_l,so4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l
201008121430_SW18_Tarkarella,41,2,12/08/2010 14:30,2,3,10.3,,80,,7.7,,,,,,8.95,,0,10.02,3.49,5.23,2.11
201008121440_SW22_ArmoursLane,45,2,12/08/2010 14:40,2,3,9.4,,185,,7.75,,,,,,41.78,,5.82,25.79,10.27,7.63,5.08
201008121450_SW02_HoarseLane,25,2,12/08/2010 14:50,2,3,9.4,,225,,8.16,,,,,,27.9,,0,16.56,12.04,23.47,6.45
201008121510_SW21_CoolacMingay,44,2,12/08/2010 15:10,2,3,8.3,,130,,7.7,,,,,,27.77,,4.51,12.7,5.43,5.07,3.85
201008121540_SW21_CoolacMingay,44,2,12/08/2010 15:40,2,3,9.6,,95,,7.7,,,,,,16.42,,2.84,12.7,5.43,5.07,3.85
201008170000_SW28_CullingaCreekEast,51,2,17/08/2010 0:00,2,3,8.3,,790,,8.5,,,,,,165.66,,24.06,89.6,69.45,51.67,9.68
201008170000_SW29_CullingaCreekMain,52,2,17/08/2010 0:00,2,3,8,,725,,8.1,,,,,,149.85,,42.54,78.01,68.73,40.81,14.9
201008170000_SW33_SECootaNorth,56,2,17/08/2010 0:00,2,3,9,,1950,,8.3,,,,,,630.17,,61.56,264.79,160.66,121.94,20.01
201008170448_SW35_BradmanOval,58,2,17/08/2010 4:48,2,3,8,,370,,7.2,,,,,,71.06,,9.77,47.67,21.1,12.57,15.04
201008170830_SW11_Glenarchy,34,2,17/08/2010 8:30,2,3,7,,450,,7,,,,,,98.87,,19.86,60.49,31.41,18.61,11.51
201008170850_SW04_Berthong,27,2,17/08/2010 8:50,2,3,7,,465,,7,,,,,,112.07,,18.81,65.44,29.17,18.77,11.24
201008170935_SW06_Jindalee,29,2,17/08/2010 9:35,2,3,7,,1570,,8.1,,,,,,391.36,,129.76,138.23,188.75,125.45,13.21
201008170950_SW36_NashsLane,59,2,17/08/2010 9:50,2,3,8.5,,330,,7.5,,,,,,65.9,,10.57,44.27,20.08,11.63,11.43
201008171000_SW03_Cootamundry,26,2,17/08/2010 10:00,2,3,8.5,,480,,7.6,,,,,,133.77,,12.48,77.65,28.12,15.95,7.56
201008171015_SW20_Cootamundry12A,43,2,17/08/2010 10:15,2,3,8,,515,,7.6,,,,,,146.29,,21.56,82.34,29.54,17.12,7.49
201008171110_SW32_WavehillNorth,55,2,17/08/2010 11:10,2,3,7,,340,,8,,,,,,31.1,,7.58,11.08,31.13,12,23.32
201008171122_SW16_BrawlinRoadCreek,39,2,17/08/2010 11:22,2,3,9.3,,410,,7.8,,,,,,88.84,,27.32,59.63,26.44,14.81,9.5
201008171138_SW34_BigDam,57,2,17/08/2010 11:38,2,3,12.5,,83,,7.4,,,,,,14.34,,2.53,12.28,2.96,2.93,3.18
201008171148_SW05_Cunjegong,28,2,17/08/2010 11:48,2,3,8.5,,245,,7.5,,,,,,65.16,,4.02,39.07,11.22,8.31,3.96
201008171159_SW07_RomaniEntry,30,2,17/08/2010 11:59,2,3,8.2,,173,,7.4,,,,,,43.09,,0,28.16,7.53,6.54,2.68
201008171211_SW30_AthloneNorth,53,2,17/08/2010 12:11,2,3,10,,1380,,7.3,,,,,,478.24,,0,262.49,88.14,39.46,32.08
201008171225_SW31_AthloneSouth,54,2,17/08/2010 12:25,2,3,10,,480,,7.6,,,,,,122.23,,10.88,89.52,21.48,15.45,7.79
201008171234_SW08_SheepStation,31,2,17/08/2010 12:34,2,3,8.5,,395,,7.8,,,,,,106.36,,8.8,59.14,22.33,13.69,4.54
201008171246_SW15_MuttamaCreek,38,2,17/08/2010 12:46,2,3,9.8,,250,,7.8,,,,,,56.89,,4.89,36.85,11.11,8.14,4.07
201008171254_SW26_ReefCreek,49,2,17/08/2010 12:54,2,3,12.5,,675,,8.9,,,,,,167.91,,9.18,96.1,45.6,41.31,4.21
201008171307_SW27_LongView,50,2,17/08/2010 13:07,2,3,11,,940,,8.2,,,,,,219.51,,25.19,127.38,56.57,63.55,9.04
201008171336_SW25_BurraCreekNorth,48,2,17/08/2010 13:36,2,3,9.4,,135,,7.6,,,,,,28.61,,2.42,21.11,6.69,5.07,2.43
201008171341_SW24_YammtreeMid,47,2,17/08/2010 13:41,2,3,13,,112,,9.3,,,,,,13.9,,2.51,15.45,11.28,4.4,1.17
201008171349_SW23_BongongolongHeadwater,46,2,17/08/2010 13:49,2,3,9.2,,129,,7.8,,,,,,28.14,,1.27,19.57,6.23,4.88,3.99
201008171455_SW21_CoolacMingay,44,2,17/08/2010 14:55,2,3,10.5,,267,,7.5,,,,,,61.68,,8.58,38.76,13.78,11.61,4.59
201008171520_SW21_CoolacMingay,44,2,17/08/2010 15:20,2,3,10.5,,250,,7.1,,,,,,59.83,,9.68,38.09,12.99,10.57,4.35
201008171528_SW02_HoarseLane,25,2,17/08/2010 15:28,2,3,15,,1230,,8,,,,,,211.47,,18.72,107.51,51.25,168.08,2.08
